dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_features_tested
synthetic,KMeans normal,2,,300,2,5700.9871394294,0.5990006349360739,0.7115065033875861,519.4398531406658,0.008744001388549805,0.0,0.008744001388549805,2
synthetic,KMeans normal,3,,300,2,1438.102514347113,0.7314541584666504,0.349836531572036,1466.3277822200719,0.005835294723510742,0.0,0.005835294723510742,2
synthetic,KMeans normal,4,,300,2,340.0433386455482,0.7933875577102388,0.2859222293196834,4438.9289467031895,0.010215997695922852,0.0,0.010215997695922852,2
synthetic,KMeans normal,5,,300,2,307.357617053785,0.6844234185383715,0.5834933191364685,3678.6372250889067,0.010241508483886719,0.0,0.010241508483886719,2
synthetic,KMeans normal,6,,300,2,293.5695477491791,0.6785371542272781,0.5919730998184219,3073.446458122593,0.007070064544677734,0.0,0.007070064544677734,2
synthetic,KMeans normal,7,,300,2,260.7864774101188,0.5600174348881508,0.7961717296778819,2879.776926240007,0.0065729618072509766,0.0,0.0065729618072509766,2
synthetic,KMeans normal,8,,300,2,249.94968718786947,0.548349533990809,0.8291526380588419,2568.1734009378033,0.004777669906616211,0.0,0.004777669906616211,2
synthetic,KMeans normal,9,,300,2,231.50022907020724,0.5540118189676804,0.7959748379160119,2420.828817940689,0.007121562957763672,0.0,0.007121562957763672,2
synthetic,KMeans normal,10,,300,2,232.2221880395271,0.5307251429668127,0.8632126906388196,2137.6860739729955,0.008264541625976562,0.0,0.008264541625976562,2
synthetic,Autoencoder + KMeans++,2,1.0,300,2,357.85107421875,0.7080085277557373,0.35525088236343033,631.56298828125,0.02081894874572754,2.170322895050049,2.1911418437957764,2
synthetic,Autoencoder + KMeans++,3,1.0,300,2,29.648681640625,0.8655537962913513,0.20296239543603514,5442.45458984375,0.018178701400756836,2.170322895050049,2.1885015964508057,2
synthetic,Autoencoder + KMeans++,4,1.0,300,2,19.27564811706543,0.7930344939231873,0.4103264445220385,5617.33935546875,0.020594120025634766,2.170322895050049,2.1909170150756836,2
