dataset,method,latent_dim,K,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,autoencoder_time,kmeans_time,total_time
synthetic,Autoencoder + KMeans++,2,2,300,20,380.71551513671875,0.5532224,0.9270046299608548,341.44962,2.2129127979278564,0.01939225196838379,2.2323050498962402
synthetic,Autoencoder + KMeans++,2,3,300,20,185.9785919189453,0.6985409,0.5250473359641014,503.8101,2.2129127979278564,0.021459341049194336,2.234372138977051
synthetic,Autoencoder + KMeans++,2,4,300,20,9.628384590148926,0.90001893,0.1457093705916225,8272.919,2.2129127979278564,0.022618532180786133,2.2355313301086426
synthetic,Autoencoder + KMeans++,2,5,300,20,7.875424385070801,0.7768555,0.46655964033731917,7576.5547,2.2129127979278564,0.02281022071838379,2.2357230186462402
synthetic,Autoencoder + KMeans++,2,6,300,20,6.584242343902588,0.6711249,0.6055976567585076,7236.821,2.2129127979278564,0.02536487579345703,2.2382776737213135
synthetic,Autoencoder + KMeans++,2,7,300,20,5.3625359535217285,0.5534679,0.7469477498375806,7390.549,2.2129127979278564,0.02657938003540039,2.239492177963257
synthetic,Autoencoder + KMeans++,2,8,300,20,4.6537909507751465,0.454298,0.8036460151212653,7280.943,2.2129127979278564,0.02886962890625,2.2417824268341064
synthetic,Autoencoder + KMeans++,2,9,300,20,4.118495941162109,0.44474283,0.8243249528294293,7178.9365,2.2129127979278564,0.027019023895263672,2.23993182182312
synthetic,Autoencoder + KMeans++,2,10,300,20,3.6771135330200195,0.45059097,0.8086289238218697,7129.9233,2.2129127979278564,0.03114938735961914,2.2440621852874756
synthetic,Autoencoder + KMeans++,3,2,300,20,468.1516418457031,0.5829258,0.9139368609150027,353.43076,2.080009937286377,0.01999974250793457,2.1000096797943115
synthetic,Autoencoder + KMeans++,3,3,300,20,201.41761779785156,0.740799,0.42018705053417627,606.0143,2.080009937286377,0.019393444061279297,2.0994033813476562
synthetic,Autoencoder + KMeans++,3,4,300,20,4.659900665283203,0.9396738,0.08643752417636799,21570.01,2.080009937286377,0.023998737335205078,2.104008674621582
synthetic,Autoencoder + KMeans++,3,5,300,20,3.444026470184326,0.85339785,0.264205807976743,21840.875,2.080009937286377,0.026030302047729492,2.1060402393341064
synthetic,Autoencoder + KMeans++,3,6,300,20,2.489047050476074,0.7510382,0.41839896656939674,24117.102,2.080009937286377,0.024331331253051758,2.1043412685394287
synthetic,Autoencoder + KMeans++,3,7,300,20,2.0574893951416016,0.6471958,0.5270095906119211,24240.598,2.080009937286377,0.025987625122070312,2.1059975624084473
synthetic,Autoencoder + KMeans++,3,8,300,20,1.7222336530685425,0.51741576,0.6597044024283916,24750.148,2.080009937286377,0.027261972427368164,2.107271909713745
synthetic,Autoencoder + KMeans++,3,9,300,20,1.4120795726776123,0.5238691,0.6340365964617549,26325.865,2.080009937286377,0.027175188064575195,2.107185125350952
synthetic,Autoencoder + KMeans++,3,10,300,20,1.1627691984176636,0.5101603,0.6312365178892576,28327.404,2.080009937286377,0.02923893928527832,2.1092488765716553
synthetic,Autoencoder + KMeans++,4,2,300,20,464.59234619140625,0.5970903,0.8200591501986025,434.23288,2.075566053390503,0.02063918113708496,2.096205234527588
synthetic,Autoencoder + KMeans++,4,3,300,20,190.865478515625,0.75560963,0.3821903475974087,739.6862,2.075566053390503,0.019738435745239258,2.095304489135742
synthetic,Autoencoder + KMeans++,4,4,300,20,6.8672895431518555,0.9229588,0.10420877697577893,16303.082,2.075566053390503,0.020322084426879883,2.095888137817383
synthetic,Autoencoder + KMeans++,4,5,300,20,5.3228325843811035,0.81920916,0.35642272756255816,15743.255,2.075566053390503,0.023294687271118164,2.098860740661621
synthetic,Autoencoder + KMeans++,4,6,300,20,4.249665260314941,0.72183454,0.48487880120668664,15736.494,2.075566053390503,0.030185461044311523,2.1057515144348145
synthetic,Autoencoder + KMeans++,4,7,300,20,3.4476304054260254,0.6172025,0.5939831501133906,16120.816,2.075566053390503,0.026998281478881836,2.1025643348693848
synthetic,Autoencoder + KMeans++,4,8,300,20,2.613611936569214,0.52027893,0.6614473494119189,18178.297,2.075566053390503,0.028042316436767578,2.1036083698272705
synthetic,Autoencoder + KMeans++,4,9,300,20,2.3084380626678467,0.49229646,0.718920693848187,17951.912,2.075566053390503,0.024676084518432617,2.1002421379089355
synthetic,Autoencoder + KMeans++,4,10,300,20,2.0078203678131104,0.48578027,0.7077719501099224,18288.209,2.075566053390503,0.026772022247314453,2.1023380756378174
synthetic,Autoencoder + KMeans++,5,2,300,20,521.2559814453125,0.5943672,0.5241330793041663,323.4602,2.15195894241333,0.018737077713012695,2.1706960201263428
synthetic,Autoencoder + KMeans++,5,3,300,20,251.01988220214844,0.716114,0.5327846280095391,494.58215,2.15195894241333,0.018700599670410156,2.1706595420837402
synthetic,Autoencoder + KMeans++,5,4,300,20,6.599803924560547,0.9380821,0.09459541925132198,16152.613,2.15195894241333,0.022835731506347656,2.1747946739196777
synthetic,Autoencoder + KMeans++,5,5,300,20,5.102749347686768,0.8295083,0.3233604132120318,15668.01,2.15195894241333,0.02333831787109375,2.175297260284424
synthetic,Autoencoder + KMeans++,5,6,300,20,3.611077070236206,0.71903145,0.48704134457441034,17641.826,2.15195894241333,0.023729562759399414,2.1756885051727295
synthetic,Autoencoder + KMeans++,5,7,300,20,2.949065685272217,0.6020096,0.6112320830701142,17951.473,2.15195894241333,0.027431249618530273,2.1793901920318604
synthetic,Autoencoder + KMeans++,5,8,300,20,2.543053388595581,0.5940737,0.6144798883663507,17793.541,2.15195894241333,0.027660369873046875,2.179619312286377
synthetic,Autoencoder + KMeans++,5,9,300,20,2.1903395652770996,0.57181656,0.6454778375934507,18021.135,2.15195894241333,0.02973484992980957,2.1816937923431396
synthetic,Autoencoder + KMeans++,5,10,300,20,1.8789820671081543,0.45913315,0.7091702827722471,18609.283,2.15195894241333,0.028681278228759766,2.18064022064209
