dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time
synthetic,KMeans normal,2,,300,20,97273.38965116348,0.496039203702436,1.1232669299119984,231.0204167854468,0.003429412841796875,0.0,0.003429412841796875
synthetic,KMeans normal,3,,300,20,84700.9923005824,0.5544028410538389,0.9721108895883512,154.25280424847435,0.0038466453552246094,0.0,0.0038466453552246094
synthetic,KMeans normal,4,,300,20,3782.922047143285,0.8485122103491373,0.2147917648971301,4405.280457992943,0.00832056999206543,0.0,0.00832056999206543
synthetic,KMeans normal,5,,300,20,3765.995152569523,0.6469690127349839,0.47414415249201997,3307.9298293166885,0.009848833084106445,0.0,0.009848833084106445
synthetic,KMeans normal,6,,300,20,3699.7818213896735,0.4531123747207217,1.494971870530751,2685.6254054847836,0.005635499954223633,0.0,0.005635499954223633
synthetic,KMeans normal,7,,300,20,3628.9424064450304,0.2557643851719574,2.252569432654648,2274.901206371288,0.006208658218383789,0.0,0.006208658218383789
synthetic,KMeans normal,8,,300,20,3574.052053912954,0.24925408207952515,2.9168738554620006,1973.745592556843,0.007823705673217773,0.0,0.007823705673217773
synthetic,KMeans normal,9,,300,20,3531.217239339604,0.45239669910383573,2.334419990052006,1742.431816621402,0.004657745361328125,0.0,0.004657745361328125
synthetic,KMeans normal,10,,300,20,3506.0642830242446,0.4512136767176211,2.25983997466014,1554.81032341604,0.005178689956665039,0.0,0.005178689956665039
synthetic,Autoencoder + KMeans++,2,3.0,300,20,513.09521484375,0.6151126027107239,0.7462171564429788,531.3521118164062,0.020142793655395508,1.9778096675872803,1.9979524612426758
synthetic,Autoencoder + KMeans++,3,3.0,300,20,171.46192932128906,0.7473678588867188,0.38138918522372384,1088.2427978515625,0.018469810485839844,1.9778096675872803,1.9962794780731201
synthetic,Autoencoder + KMeans++,4,3.0,300,20,8.243953704833984,0.914645791053772,0.11488710593735284,16991.8671875,0.022835731506347656,1.9778096675872803,2.000645399093628
synthetic,Autoencoder + KMeans++,5,3.0,300,20,6.842678070068359,0.7906802296638489,0.4504550826810684,15316.8896484375,0.02366805076599121,1.9778096675872803,2.0014777183532715
synthetic,Autoencoder + KMeans++,6,3.0,300,20,5.639107704162598,0.6948180198669434,0.5630170186200806,14841.810546875,0.024939298629760742,1.9778096675872803,2.002748966217041
synthetic,Autoencoder + KMeans++,7,3.0,300,20,4.507633209228516,0.5995858907699585,0.6422512136754858,15424.6748046875,0.02619624137878418,1.9778096675872803,2.0040059089660645
synthetic,Autoencoder + KMeans++,8,3.0,300,20,3.433016061782837,0.49488016963005066,0.7221671533100045,17309.49609375,0.028280258178710938,1.9778096675872803,2.006089925765991
synthetic,Autoencoder + KMeans++,9,3.0,300,20,3.0615439414978027,0.5033158659934998,0.6930963621775494,16929.76953125,0.025272130966186523,1.9778096675872803,2.003081798553467
synthetic,Autoencoder + KMeans++,10,3.0,300,20,2.6698551177978516,0.5013160109519958,0.7080043340982556,17201.873046875,0.02969074249267578,1.9778096675872803,2.007500410079956
