dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_samples_tested
synthetic,KMeans normal,2,,50,20,15976.62206343847,0.4897133005177263,1.0774200333007977,38.29334716288445,0.005004167556762695,0.0,0.005004167556762695,50
synthetic,KMeans normal,3,,50,20,5474.8306494491935,0.7061450130114407,0.5068193623839242,99.78726310772662,0.003047943115234375,0.0,0.003047943115234375,50
synthetic,KMeans normal,4,,50,20,5456.4091337566815,0.5040684577223025,1.3572697068402544,65.38100463734862,0.0034797191619873047,0.0,0.0034797191619873047,50
synthetic,KMeans normal,5,,50,20,558.9403727581202,0.655420456601269,1.0095369685645017,566.8568048879642,0.0064239501953125,0.0,0.0064239501953125,50
synthetic,KMeans normal,6,,50,20,536.1730226648185,0.6591694227794171,1.0327604301286442,462.6099583296864,0.009904623031616211,0.0,0.009904623031616211,50
synthetic,KMeans normal,7,,50,20,510.0316279073422,0.44809054412871435,1.50472544281741,396.4240203509094,0.005072832107543945,0.0,0.005072832107543945,50
synthetic,KMeans normal,8,,50,20,489.67876509002355,0.4467512303208885,1.429930427988907,345.9338320595331,0.007807493209838867,0.0,0.007807493209838867,50
synthetic,KMeans normal,9,,50,20,469.3616474510353,0.20934972697093152,1.7575547936840021,308.49757004187694,0.006053447723388672,0.0,0.006053447723388672,50
synthetic,KMeans normal,10,,50,20,463.91927132417044,0.28762147919608166,1.5233720913733397,270.7224025875199,0.010662317276000977,0.0,0.010662317276000977,50
synthetic,Autoencoder + KMeans++,2,3.0,50,20,268.7518005371094,0.6043096780776978,0.5141578060763841,60.06509780883789,0.02485370635986328,0.4283454418182373,0.4531991481781006,50
synthetic,Autoencoder + KMeans++,3,3.0,50,20,80.5174560546875,0.7958627939224243,0.3768325122097427,153.0929718017578,0.03504633903503418,0.4283454418182373,0.4633917808532715,50
synthetic,Autoencoder + KMeans++,4,3.0,50,20,1.8830103874206543,0.9454984068870544,0.07305209421684541,4911.630859375,0.02477240562438965,0.4283454418182373,0.45311784744262695,50
synthetic,Autoencoder + KMeans++,5,3.0,50,20,1.5128347873687744,0.7931342124938965,0.3082400034988667,4488.1708984375,0.025383472442626953,0.4283454418182373,0.45372891426086426,50
synthetic,Autoencoder + KMeans++,6,3.0,50,20,1.1777479648590088,0.7041794061660767,0.425571811307537,4512.11083984375,0.02503228187561035,0.4283454418182373,0.45337772369384766,50
synthetic,Autoencoder + KMeans++,7,3.0,50,20,0.8949294090270996,0.5653046369552612,0.6072075554115753,4838.17138671875,0.02821969985961914,0.4283454418182373,0.45656514167785645,50
synthetic,Autoencoder + KMeans++,8,3.0,50,20,0.7761033773422241,0.5654695630073547,0.5788772027082385,4671.64599609375,0.02930307388305664,0.4283454418182373,0.45764851570129395,50
synthetic,Autoencoder + KMeans++,9,3.0,50,20,0.6719908118247986,0.565727710723877,0.5172520694970729,4609.3916015625,0.028379440307617188,0.4283454418182373,0.4567248821258545,50
synthetic,Autoencoder + KMeans++,10,3.0,50,20,0.5641701221466064,0.4628656506538391,0.6379995101756019,4762.0927734375,0.033030033111572266,0.4283454418182373,0.46137547492980957,50
synthetic,KMeans normal,2,,100,20,29120.28522859001,0.558318995191957,0.6293456070515324,102.36152850995171,0.0019659996032714844,0.0,0.0019659996032714844,100
synthetic,KMeans normal,3,,100,20,29095.414506645786,0.29396083451603006,2.530366042669435,50.74327212338936,0.0023725032806396484,0.0,0.0023725032806396484,100
synthetic,KMeans normal,4,,100,20,13749.890602933687,0.40985679190955887,2.0508669641385353,106.55896175731277,0.0035469532012939453,0.0,0.0035469532012939453,100
synthetic,KMeans normal,5,,100,20,1184.3362008688232,0.5908418233434101,1.5286112810073478,1170.1624875001341,0.002512216567993164,0.0,0.002512216567993164,100
synthetic,KMeans normal,6,,100,20,1155.0758633103962,0.4362881496097855,2.128173834463904,950.2166189135888,0.0021562576293945312,0.0,0.0021562576293945312,100
synthetic,KMeans normal,7,,100,20,1121.592178626614,0.22416075885678438,2.6343325750906,807.2740979277994,0.0025949478149414062,0.0,0.0025949478149414062,100
synthetic,KMeans normal,8,,100,20,1100.5463932599173,0.22318423051870948,2.5240232376606215,697.8501305773515,0.005184650421142578,0.0,0.005184650421142578,100
synthetic,KMeans normal,9,,100,20,1066.9245455166363,0.21733534598090343,2.4324963754971893,623.373354564071,0.0031435489654541016,0.0,0.0031435489654541016,100
synthetic,KMeans normal,10,,100,20,1049.960594089535,0.21581057626550149,2.213585502611994,557.0363300250737,0.001920938491821289,0.0,0.001920938491821289,100
